Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,YearsSinceCreation,Ratio_Likes,Ratio_Dislikes
Toby's HOSPITAL (SCARY OBBY),Diabolical Obbies,All Ages,872,92471,54700000.0,0,0,2022-08-14,2024-10-16,12,Obby & Platformer,39000.0,9608.0,2,0.8023370638578012,0.19766293614219876
Toilet Simulator,MagicCube,Ages 9+,237,198560,8300000.000000001,0,0,2024-08-27,2024-10-22,6,Simulation,727.0,627.0,0,0.5369276218611522,0.46307237813884783
Total Roblox Drama,Mojo's Games,All Ages,2785,871194,543600000.0,0,0,2020-04-12,2024-11-02,50,Party & Casual,235000.0,54000.0,4,0.8131487889273357,0.18685121107266434
Touch Football,Touch Games,All Ages,1934,40289,89300000.0,0,0,2024-02-20,2024-11-13,10,Sports & Racing,30000.0,6157.0,0,0.8297148546616147,0.17028514533838535
Touch Soccer,Emilping2012,All Ages,678,34672,61800000.0,0,0,2022-10-10,2024-04-24,8,Sports & Racing,16000.0,6698.0,2,0.7049079214027668,0.2950920785972332
Touch Soccer League,Emilping2012,All Ages,167,51355,50100000.0,0,0,2021-12-10,2024-04-24,16,Sports & Racing,31000.0,8595.0,3,0.7829271372648061,0.21707286273519388
Tower of Hell,YXCeptional Studios,All Ages,8710,11175950,24000000000.0,0,0,2018-06-19,2024-10-28,20,Obby & Platformer,3000000.0,1000000.0,6,0.75,0.25
Tower of Jump [FREE HALOS😇],BloxGroup Studios,All Ages,914,726217,622000000.0,0,0,2021-08-06,2024-07-22,18,Obby & Platformer,162000.0,33000.0,3,0.8307692307692308,0.16923076923076918
Tower of Misery,Limitless Studio,All Ages,1319,2747943,3700000000.0,0,0,2020-04-28,2024-10-19,18,Obby & Platformer,736000.0,196000.0,4,0.7896995708154506,0.2103004291845494
town,DecodeUnicode,Ages 13+,606,258922,56600000.0,0,0,2020-05-06,2024-10-21,30,Action,108000.0,37000.0,4,0.7448275862068966,0.2551724137931034
TPS: Ultimate Soccer,TAYFUN7,All Ages,599,311188,170700000.0,0,0,2008-11-23,2024-11-12,8,Sports & Racing,77000.0,18000.0,16,0.8105263157894737,0.18947368421052635
Trampoline Battle Simulator,Innerprod,All Ages,432,15579,19000000.0,0,0,2023-11-20,2024-11-10,15,Simulation,13000.0,1353.0,1,0.9057339928934718,0.09426600710652822
Treasure Hunt Simulator,HenryDev,All Ages,541,3425519,674100000.0,0,0,2018-01-20,2024-03-31,14,Simulation,950000.0,96000.0,6,0.9082217973231358,0.0917782026768642
Tropical Restaurant Tycoon,Tiny Panda Studio,All Ages,67,38972,3300000.0,0,0,2024-03-09,2024-04-27,4,Simulation,25000.0,1977.0,0,0.9267153501130593,0.07328464988694072
T-Titans Battlegrounds,Toxicator1,Ages 9+,659,1057221,637000000.0,0,0,2019-04-17,2024-11-04,15,Action,301000.0,92000.0,5,0.7659033078880407,0.23409669211195927
Tug of War Simulator,Filtered Games,All Ages,709,935278,23900000.0,0,0,2024-03-10,2024-08-20,10,Simulation,28000.0,1368.0,0,0.9534186870062653,0.04658131299373469
Turbo Doomspire BrickBattle (No CoolDown),smatestguy,Ages 9+,296,23864,11800000.0,0,0,2017-01-24,2024-10-31,16,Simulation,7871.0,2796.0,7,0.7378831911502766,0.26211680884972344
